typology,curve,candidate_frame,window_start,window_end
t2-4,curve_00,11,8,14
t2-4,curve_00,12,9,15
t2-4,curve_00,13,10,16
t2-4,curve_01,11,8,14
t2-4,curve_01,12,9,15
t2-4,curve_02,11,8,14
t2-4,curve_02,12,9,15
t2-4,curve_02,13,10,16
t2-4,curve_03,12,9,15
t2-4,curve_03,13,10,16
t2-4,curve_04,11,8,14
t2-4,curve_04,12,9,15
t2-4,curve_04,13,10,16
t2-4,curve_05,11,8,14
t2-4,curve_05,12,9,15
t2-4,curve_06,11,8,14
t2-4,curve_06,12,9,15
t2-4,curve_07,12,9,15
t2-4,curve_07,13,10,16
t2-4,curve_08,11,8,14
t2-4,curve_08,12,9,15
t2-4,curve_08,13,10,16
t2-4,curve_09,12,9,15
t2-4,curve_09,13,10,16
t2-4,curve_10,12,9,15
t2-4,curve_10,13,10,16
t2-4,curve_11,12,9,15
t2-4,curve_11,13,10,16
t2-4,curve_12,12,9,15
t2-4,curve_12,13,10,16
t2-4,curve_13,12,9,15
t2-4,curve_13,13,10,16
t2-4,curve_14,11,8,14
t2-4,curve_14,12,9,15
t2-4,curve_14,13,10,16
t2-4,curve_15,3,0,6
t2-4,curve_15,12,9,15
t2-4,curve_15,13,10,16
t2-4,curve_16,12,9,15
t2-4,curve_16,13,10,16
t2-4,curve_17,12,9,15
t2-4,curve_17,13,10,16
t2-4,curve_17,14,11,17
t2-4,curve_18,2,0,5
t2-4,curve_18,3,0,6
t2-4,curve_18,12,9,15
t2-4,curve_18,13,10,16
t2-4,curve_18,14,11,17
t2-4,curve_19,11,8,14
t2-4,curve_19,12,9,15
t2-4,curve_19,13,10,16
t2-4,curve_20,11,8,14
t2-4,curve_20,12,9,15
t2-4,curve_20,13,10,16
t2-4,curve_21,11,8,14
t2-4,curve_21,12,9,15
t2-4,curve_21,13,10,16
t2-4,curve_22,11,8,14
t2-4,curve_22,12,9,15
t2-4,curve_23,12,9,15
t2-4,curve_23,13,10,16
t2-4,curve_24,11,8,14
t2-4,curve_24,12,9,15
t2-4,curve_24,13,10,16
t2-4,curve_25,11,8,14
t2-4,curve_25,12,9,15
t2-4,curve_25,13,10,16
t2-4,curve_26,12,9,15
t2-4,curve_26,13,10,16
t2-4,curve_26,14,11,17
t2-4,curve_27,11,8,14
t2-4,curve_27,12,9,15
t2-4,curve_28,11,8,14
t2-4,curve_28,12,9,15
t2-4,curve_28,13,10,16
t2-4,curve_29,11,8,14
t2-4,curve_29,12,9,15
t2-4,curve_29,13,10,16
t2-4,curve_30,12,9,15
t2-4,curve_30,13,10,16
t2-4,curve_31,11,8,14
t2-4,curve_31,12,9,15
t2-4,curve_31,13,10,16
t2-4,curve_32,11,8,14
t2-4,curve_32,12,9,15
t2-4,curve_32,13,10,16
t2-4,curve_33,11,8,14
t2-4,curve_33,12,9,15
t2-4,curve_34,11,8,14
t2-4,curve_34,12,9,15
t2-4,curve_35,11,8,14
t2-4,curve_35,12,9,15
t2-4,curve_35,13,10,16
t2-4,curve_36,11,8,14
t2-4,curve_36,12,9,15
t2-4,curve_36,13,10,16
t2-4,curve_37,11,8,14
t2-4,curve_37,12,9,15
t2-4,curve_37,13,10,16
t2-4,curve_38,11,8,14
t2-4,curve_38,12,9,15
t2-4,curve_38,13,10,16
t2-4,curve_39,12,9,15
t2-4,curve_39,13,10,16
t2-4,curve_40,11,8,14
t2-4,curve_40,12,9,15
t2-4,curve_40,13,10,16
t2-4,curve_41,11,8,14
t2-4,curve_41,12,9,15
t2-4,curve_41,13,10,16
t2-4,curve_42,11,8,14
t2-4,curve_42,12,9,15
t2-4,curve_43,11,8,14
t2-4,curve_43,12,9,15
t2-4,curve_43,13,10,16
t2-4,curve_44,11,8,14
t2-4,curve_44,12,9,15
t2-4,curve_44,13,10,16
t2-4,curve_45,11,8,14
t2-4,curve_45,12,9,15
t2-4,curve_46,12,9,15
t2-4,curve_46,13,10,16
t2-4,curve_46,14,11,17
t2-4,curve_47,11,8,14
t2-4,curve_47,12,9,15
t2-4,curve_48,11,8,14
t2-4,curve_48,12,9,15
t2-4,curve_49,11,8,14
t2-4,curve_49,12,9,15
t2-4,curve_49,13,10,16
t2-4,curve_50,11,8,14
t2-4,curve_50,12,9,15
t2-4,curve_51,12,9,15
t2-4,curve_51,13,10,16
t2-4,curve_52,12,9,15
t2-4,curve_52,13,10,16
t2-4,curve_53,11,8,14
t2-4,curve_53,12,9,15
t2-4,curve_54,11,8,14
t2-4,curve_54,12,9,15
t2-4,curve_54,13,10,16
t2-4,curve_55,11,8,14
t2-4,curve_55,12,9,15
t2-4,curve_55,13,10,16
t2-4,curve_56,11,8,14
t2-4,curve_56,12,9,15
t2-4,curve_57,11,8,14
t2-4,curve_57,12,9,15
t2-4,curve_57,13,10,16
t2-4,curve_58,11,8,14
t2-4,curve_58,12,9,15
t2-4,curve_58,13,10,16
t2-4,curve_59,11,8,14
t2-4,curve_59,12,9,15
t2-4,curve_60,11,8,14
t2-4,curve_60,12,9,15
t2-4,curve_60,13,10,16
t2-4,curve_61,11,8,14
t2-4,curve_61,12,9,15
t2-4,curve_61,13,10,16
t2-4,curve_62,12,9,15
t2-4,curve_62,13,10,16
t2-4,curve_63,11,8,14
t2-4,curve_63,12,9,15
t2-4,curve_63,13,10,16
t2-4,curve_64,11,8,14
t2-4,curve_64,12,9,15
t2-4,curve_65,11,8,14
t2-4,curve_65,12,9,15
t2-4,curve_66,11,8,14
t2-4,curve_66,12,9,15
t2-4,curve_66,13,10,16
t2-4,curve_67,12,9,15
t2-4,curve_67,13,10,16
t2-4,curve_67,14,11,17
t2-4,curve_68,11,8,14
t2-4,curve_68,12,9,15
t2-4,curve_69,11,8,14
t2-4,curve_69,12,9,15
t2-4,curve_70,11,8,14
t2-4,curve_70,12,9,15
t2-4,curve_71,12,9,15
t2-4,curve_71,13,10,16
t2-4,curve_72,11,8,14
t2-4,curve_72,12,9,15
t2-4,curve_73,12,9,15
t2-4,curve_73,13,10,16
t2-4,curve_73,14,11,17
t2-4,curve_74,11,8,14
t2-4,curve_74,12,9,15
t2-4,curve_75,11,8,14
t2-4,curve_75,12,9,15
t2-4,curve_75,13,10,16
t2-4,curve_76,11,8,14
t2-4,curve_76,12,9,15
t2-4,curve_77,11,8,14
t2-4,curve_77,12,9,15
t2-4,curve_77,13,10,16
t2-4,curve_78,11,8,14
t2-4,curve_78,12,9,15
t2-4,curve_78,13,10,16
t2-4,curve_79,12,9,15
t2-4,curve_79,13,10,16
t2-4,curve_80,11,8,14
t2-4,curve_80,12,9,15
t2-4,curve_81,12,9,15
t2-4,curve_81,13,10,16
t2-4,curve_82,11,8,14
t2-4,curve_82,12,9,15
t2-4,curve_82,13,10,16
t2-4,curve_83,11,8,14
t2-4,curve_83,12,9,15
t2-4,curve_83,13,10,16
t2-4,curve_84,11,8,14
t2-4,curve_84,12,9,15
t2-4,curve_85,11,8,14
t2-4,curve_85,12,9,15
t2-4,curve_86,11,8,14
t2-4,curve_86,12,9,15
t2-4,curve_87,12,9,15
t2-4,curve_87,13,10,16
t2-4,curve_88,11,8,14
t2-4,curve_88,12,9,15
t2-4,curve_88,13,10,16
t2-4,curve_89,12,9,15
t2-4,curve_89,13,10,16
t2-4,curve_90,11,8,14
t2-4,curve_90,12,9,15
t2-4,curve_91,11,8,14
t2-4,curve_91,12,9,15
t2-4,curve_92,11,8,14
t2-4,curve_92,12,9,15
t2-4,curve_93,11,8,14
t2-4,curve_93,12,9,15
t2-4,curve_93,13,10,16
t2-4,curve_94,12,9,15
t2-4,curve_94,13,10,16
t2-4,curve_95,11,8,14
t2-4,curve_95,12,9,15
t2-4,curve_96,11,8,14
t2-4,curve_96,12,9,15
t2-4,curve_97,12,9,15
t2-4,curve_97,13,10,16
t2-4,curve_98,11,8,14
t2-4,curve_98,12,9,15
t2-4,curve_98,13,10,16
t2-4,curve_99,11,8,14
t2-4,curve_99,12,9,15
